Multiple occupations for one geographical area,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Area:National,,,,,,,,,,,,,,,
Period:May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2)
Healthcare Social Workers(211022),      185020,         1.0,       32.42,       67430,         0.5,       20.12,       24.13,       30.26,       37.84,       47.01,       41840,       50190,       62940,       78710,       97790
Mental Health and Substance Abuse Social Workers(211023),      114680,         1.3,       30.71,       63870,         1.4,       17.86,       21.03,       26.90,       35.97,       48.12,       37150,       43750,       55960,       74810,      100090
"Social Workers, All Other(211029)",       58460,         1.8,       33.08,       68800,         0.5,       19.03,       22.96,       30.66,       42.18,       50.28,       39580,       47770,       63770,       87730,      104580
Miscellaneous Community and Social Service Specialists(211090),      706840,         0.7,       24.62,       51210,         0.4,       15.48,       18.03,       22.24,       28.55,       37.39,       32200,       37510,       46250,       59380,       77770
Health Education Specialists(211091),       57800,         1.3,       33.55,       69790,         0.8,       19.05,       23.18,       30.22,       40.29,       51.89,       39630,       48210,       62860,       83800,      107920
Probation Officers and Correctional Treatment Specialists(211092),       85870,         0.3,       32.64,       67880,         0.3,       20.05,       23.46,       29.71,       39.44,       50.59,       41700,       48800,       61800,       82040,      105220
Social and Human Service Assistants(211093),      409310,         0.9,       21.27,       44240,         0.4,       14.77,       17.20,       19.91,       23.69,       29.72,       30720,       35770,       41410,       49280,       61820
Community Health Workers(211094),       58550,         1.8,       25.30,       52610,         0.6,       17.10,       19.47,       23.17,       29.20,       36.53,       35560,       40490,       48200,       60740,       75980
"Community and Social Service Specialists, All Other(211099)",       95310,         2.2,       25.97,       54020,         0.6,       16.36,       19.22,       23.89,       30.03,       38.14,       34030,       39980,       49690,       62460,       79320
Religious Workers(212000),       91770,         1.6,       29.23,       60800,         1.1,       15.26,       19.02,       26.05,       34.32,       46.27,       31740,       39550,       54180,       71390,       96250
Clergy(212011),       56640,         2.2,       30.64,       63720,         1.2,       17.02,       21.89,       28.33,       35.87,       46.44,       35400,       45540,       58920,       74620,       96600
"Directors, Religious Activities and Education(212021)",       23270,         4.1,       29.68,       61740,         2.2,       15.40,       18.82,       24.11,       33.94,       50.21,       32030,       39150,       50140,       70600,      104430
"Religious Workers, All Other(212099)",       11870,         5.3,       21.66,       45050,         1.9,       13.72,       15.00,       18.25,       24.17,       35.25,       28530,       31200,       37960,       50280,       73310
Legal Occupations(230000),     1240630,         0.4,       64.34,      133820,         1.6,       22.61,       29.90,       47.70,       81.38,           -,       47030,       62190,       99220,      169280,           -
"Lawyers, Judges, and Related Workers(231000)",      792220,         0.7,       82.44,      171480,         1.6,       31.14,       45.64,       67.46,      102.47,           -,       64770,       94920,      140320,      213140,           -
Lawyers and Judicial Law Clerks(231010),      746020,         0.7,       83.79,      174280,         1.6,       31.91,       46.24,       68.48,      103.85,           -,       66380,       96180,      142440,      216010,           -
Lawyers(231011),      731340,         0.7,       84.84,      176470,         1.6,       33.54,       47.13,       70.08,      104.50,           -,       69760,       98030,      145760,      217360,           -
Judicial Law Clerks(231012),       14680,         1.5,       31.19,       64880,         0.5,       19.72,       22.16,       27.64,       34.25,       49.43,       41020,       46090,       57490,       71240,      102810
"Judges, Magistrates, and Other Judicial Workers(231020)",       46200,         1.3,       60.71,      126270,         1.7,       22.21,       33.89,       57.76,       82.28,       99.90,       46190,       70490,      120140,      171140,      207800
"Administrative Law Judges, Adjudicators, and Hearing Officers(231021)",       14670,         0.3,       57.67,      119940,         0.3,       25.55,       36.41,       53.41,       77.09,       93.75,       53140,       75730,      111090,      160350,      195000
"Arbitrators, Mediators, and Conciliators(231022)",        7060,        10.0,       45.85,       95370,        14.6,       17.29,       24.62,       34.39,       51.47,       73.43,       35960,       51200,       71540,      107060,      152730
"Judges, Magistrate Judges, and Magistrates(231023)",       24470,         1.1,       66.83,      139000,         0.8,       22.09,       40.53,       71.59,       87.60,      101.39,       45950,       84300,      148910,      182200,      210890
Legal Support Workers(232000),      448410,         1.2,       32.35,       67290,         1.2,       18.77,       23.02,       29.18,       37.53,       48.78,       39050,       47880,       60690,       78060,      101470
Paralegals and Legal Assistants(232011),      354890,         1.6,       31.95,       66460,         1.4,       19.09,       23.16,       29.31,       37.31,       47.51,       39710,       48180,       60970,       77600,       98830
Miscellaneous Legal Support Workers(232090),       93520,         1.6,       33.87,       70440,         1.1,       18.02,       22.12,       28.55,       38.76,       61.26,       37480,       46020,       59380,       80620,      127420
"Title Examiners, Abstractors, and Searchers(232093)",       49760,         2.5,       28.58,       59440,         1.6,       17.50,       21.04,       25.74,       33.78,       43.26,       36400,       43760,       53550,       70260,       89980
"Legal Support Workers, All Other(232099)",       43760,         1.8,       39.89,       82960,         1.4,       19.18,       24.03,       32.55,       51.14,       74.65,       39890,       49980,       67700,      106360,      155270
Educational Instruction and Library Occupations(250000),     8744560,         0.2,       31.92,       66400,         0.4,       14.74,       19.25,       28.82,       38.44,       51.02,       30670,       40050,       59940,       79960,      106130
Postsecondary Teachers(251000),     1394110,         0.2,           -,      101750,         0.5,           -,           -,           -,           -,           -,       48210,       62350,       82270,      124960,      177180
"Business Teachers, Postsecondary(251011)",       82980,         0.5,           -,      113240,         0.7,           -,           -,           -,           -,           -,       48580,       64670,       97130,      140070,      211230
"Math and Computer Science Teachers, Postsecondary(251020)",       84380,         0.4,           -,      100060,         0.5,           -,           -,           -,           -,           -,       49150,       63540,       83300,      127510,      171020
"Computer Science Teachers, Postsecondary(251021)",       36150,         0.7,           -,      106380,         0.6,           -,           -,           -,           -,           -,       49770,       65660,       96430,      133800,      175150
"Mathematical Science Teachers, Postsecondary(251022)",       48230,         0.3,           -,       95320,         0.5,           -,           -,           -,           -,           -,       48740,       62280,       81020,      108840,      165880
"Engineering and Architecture Teachers, Postsecondary(251030)",       46710,         0.4,           -,      119600,         0.4,           -,           -,           -,           -,           -,       60380,       81570,      106860,      138550,      183960
"Architecture Teachers, Postsecondary(251031)",        8350,         0.4,           -,      114900,         0.5,           -,           -,           -,           -,           -,       60610,       80010,      105770,      133570,      174390
"Engineering Teachers, Postsecondary(251032)",       38370,         0.5,           -,      120630,         0.5,           -,           -,           -,           -,           -,       60250,       81960,      106910,      139300,      200030
"Life Sciences Teachers, Postsecondary(251040)",       60860,         0.5,           -,      101440,         0.6,           -,           -,           -,           -,           -,       51330,       64990,       84260,      126560,      169410
"Agricultural Sciences Teachers, Postsecondary(251041)",        7550,         2.5,           -,       95610,         0.7,           -,           -,           -,           -,           -,       49240,       64120,       85260,      110310,      149660
"Biological Science Teachers, Postsecondary(251042)",       52050,         0.5,           -,      102270,         0.6,           -,           -,           -,           -,           -,       51670,       64990,       83920,      126760,      171410
"Forestry and Conservation Science Teachers, Postsecondary(251043)",        1260,         3.1,           -,      102230,         1.0,           -,           -,           -,           -,           -,       58120,       81040,      101650,      118460,      141800
"Physical Sciences Teachers, Postsecondary(251050)",       53130,         0.3,           -,      105600,         0.5,           -,           -,           -,           -,           -,       52900,       65940,       94060,      130190,      174330
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary(251051)",       11770,         0.7,           -,      111930,         0.4,           -,           -,           -,           -,           -,       52430,       65900,      100690,      135790,      195940
"Chemistry Teachers, Postsecondary(251052)",       20210,         0.4,           -,      102630,         0.5,           -,           -,           -,           -,           -,       52590,       65580,       85810,      125370,      171750
"Environmental Science Teachers, Postsecondary(251053)",        7120,         2.0,           -,      100910,         0.6,           -,           -,           -,           -,           -,       51280,       66060,       88410,      126160,      166150
"Physics Teachers, Postsecondary(251054)",       14030,         0.5,           -,      106950,         0.6,           -,           -,           -,           -,           -,       55150,       66780,       98020,      131140,      171820
"Social Sciences Teachers, Postsecondary(251060)",      119750,         0.4,           -,      100790,         0.5,           -,           -,           -,           -,           -,       50140,       64290,       84600,      122830,      171510
"Anthropology and Archeology Teachers, Postsecondary(251061)",        5030,         1.3,           -,      103640,         0.6,           -,           -,           -,           -,           -,       51980,       67770,       93650,      126060,      172180
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary(251062)",       11570,         1.1,           -,      100390,         0.5,           -,           -,           -,           -,           -,       51590,       65390,       86030,      111650,      169680
"Economics Teachers, Postsecondary(251063)",       12210,         1.4,           -,      133650,         0.7,           -,           -,           -,           -,           -,       58060,       82110,      115300,      168240,      221170
"Geography Teachers, Postsecondary(251064)",        3480,         1.1,           -,       97660,         1.6,           -,           -,           -,           -,           -,       50870,       66610,       85600,      109120,      155010
"Political Science Teachers, Postsecondary(251065)",       17090,         0.6,           -,      104910,         0.4,           -,           -,           -,           -,           -,       51610,       66330,       93810,      127940,      172910
"Psychology Teachers, Postsecondary(251066)",       40610,         1.2,           -,       93990,         0.5,           -,           -,           -,           -,           -,       49790,       62980,       82140,      106610,      151890
"Sociology Teachers, Postsecondary(251067)",       12870,         1.6,           -,       97580,         0.5,           -,           -,           -,           -,           -,       49900,       64320,       82670,      109450,      169920
"Social Sciences Teachers, Postsecondary, All Other(251069)",       16900,         0.8,           -,       91710,         0.5,           -,           -,           -,           -,           -,       43890,       59310,       77750,      106540,      170180
"Health Teachers, Postsecondary(251070)",      298060,         0.3,           -,      122760,         0.6,           -,           -,           -,           -,           -,       51150,       66570,      100950,      143730,      225010
"Health Specialties Teachers, Postsecondary(251071)",      225360,         0.3,           -,      134440,         0.6,           -,           -,           -,           -,           -,       52300,       69140,      105650,      172990,           -
"Nursing Instructors and Teachers, Postsecondary(251072)",       72700,         0.7,           -,       86530,         0.5,           -,           -,           -,           -,           -,       49120,       63050,       80780,      103370,      130320
"Education and Library Science Teachers, Postsecondary(251080)",       65090,         0.9,           -,       81230,         0.5,           -,           -,           -,           -,           -,       40100,       54460,       74550,       98590,      130150
"Education Teachers, Postsecondary(251081)",       60860,         0.8,           -,       80750,         0.5,           -,           -,           -,           -,           -,       39670,       52740,       73240,       98130,      130000
"Library Science Teachers, Postsecondary(251082)",        4220,         1.8,           -,       88190,         0.7,           -,           -,           -,           -,           -,       53660,       64430,       80310,      101750,      131310
"Law, Criminal Justice, and Social Work Teachers, Postsecondary(251110)",       39700,         0.7,           -,      104340,         0.5,           -,           -,           -,           -,           -,       47780,       61190,       81770,      130530,      199890
"Criminal Justice and Law Enforcement Teachers, Postsecondary(251111)",       13390,         1.1,           -,       83470,         0.7,           -,           -,           -,           -,           -,       46320,       56020,       69030,      102110,      134580
"Law Teachers, Postsecondary(251112)",       14570,         1.6,           -,      142440,         0.7,           -,           -,           -,           -,           -,       51810,       77860,      127360,      179700,           -
"Social Work Teachers, Postsecondary(251113)",       11730,         1.1,           -,       80840,         1.0,           -,           -,           -,           -,           -,       46790,       53640,       75020,       96670,      127760
"Arts, Communications, History, and Humanities Teachers, Postsecondary(251120)",      249370,         0.4,           -,       93950,         0.5,           -,           -,           -,           -,           -,       47990,       61570,       79960,      106020,      163400
"Art, Drama, and Music Teachers, Postsecondary(251121)",      101500,         0.7,           -,      100840,         0.6,           -,           -,           -,           -,           -,       47570,       61970,       80360,      110120,      178670
"Communications Teachers, Postsecondary(251122)",       28520,         0.7,           -,       90950,         0.6,           -,           -,           -,           -,           -,       48060,       61410,       79910,      104810,      160060
"English Language and Literature Teachers, Postsecondary(251123)",       57600,         0.3,           -,       87090,         0.4,           -,           -,           -,           -,           -,       48090,       60050,       78130,      102980,      137100
"Foreign Language and Literature Teachers, Postsecondary(251124)",       20820,         0.7,           -,       88490,         0.5,           -,           -,           -,           -,           -,       48230,       61530,       78760,      103340,      136260
"History Teachers, Postsecondary(251125)",       20610,         0.9,           -,       93120,         0.5,           -,           -,           -,           -,           -,       48760,       63650,       82140,      106840,      141840
"Philosophy and Religion Teachers, Postsecondary(251126)",       20320,         1.1,           -,       89680,         0.6,           -,           -,           -,           -,           -,       48450,       61830,       79930,      103340,      137310
Miscellaneous Postsecondary Teachers(251190),      294080,         0.7,           -,       85400,         0.4,           -,           -,           -,           -,           -,       40800,       52000,       71800,      101320,      146070
"Family and Consumer Sciences Teachers, Postsecondary(251192)",        2660,         0.9,           -,       89630,         0.9,           -,           -,           -,           -,           -,       48410,       59170,       78410,      105280,      146020
"Recreation and Fitness Studies Teachers, Postsecondary(251193)",       13270,         1.3,           -,       87340,         0.6,           -,           -,           -,           -,           -,       44400,       58540,       75770,      101780,      148610
"Career/Technical Education Teachers, Postsecondary(251194)",      111180,         1.4,       32.84,       68300,         0.8,       18.81,       23.51,       29.84,       38.56,       50.58,       39120,       48890,       62060,       80200,      105200
"Postsecondary Teachers, All Other(251199)",      166980,         0.8,           -,       96570,         0.5,           -,           -,           -,           -,           -,       45930,       59260,       79870,      120620,      177050
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers(252000)",     4261430,         0.3,           -,       68890,         0.4,           -,           -,           -,           -,           -,       39630,       50110,       63280,       81010,      103800
Preschool and Kindergarten Teachers(252010),      548820,         0.9,       22.65,       47110,         0.6,       13.86,       16.15,       18.91,       26.96,       35.72,       28830,       33590,       39330,       56080,       74310
"Preschool Teachers, Except Special Education(252011)",      430240,         1.1,           -,       41410,         0.7,           -,           -,           -,           -,           -,       28200,       30810,       37130,       46500,       60900
"Kindergarten Teachers, Except Special Education(252012)",      118580,         1.2,           -,       67790,         0.6,           -,           -,           -,           -,           -,       45650,       50970,       62690,       78950,      100390
Elementary and Middle School Teachers(252020),     2048970,         0.5,           -,       70950,         0.5,           -,           -,           -,           -,           -,       47130,       51490,       63870,       81670,      104420
"Elementary School Teachers, Except Special Education(252021)",     1410070,         0.6,           -,       70740,         0.5,           -,           -,           -,           -,           -,       46960,       51260,       63680,       81480,      104440
"Middle School Teachers, Except Special and Career/Technical Education(252022)",      626690,         1.5,           -,       71460,         0.7,           -,           -,           -,           -,           -,       47490,       52040,       64290,       82120,      104410
"Career/Technical Education Teachers, Middle School(252023)",       12210,         3.3,           -,       69020,         1.2,           -,           -,           -,           -,           -,       47360,       54620,       63860,       78680,       99080
Secondary School Teachers(252030),     1135230,         0.8,           -,       73570,         0.5,           -,           -,           -,           -,           -,       48140,       54980,       65210,       83130,      105860
"Secondary School Teachers, Except Special and Career/Technical Education(252031)",     1045170,         0.8,           -,       73800,         0.5,           -,           -,           -,           -,           -,       48040,       54290,       65220,       83340,      106380
"Career/Technical Education Teachers, Secondary School(252032)",       90070,         1.6,           -,       70810,         0.5,           -,           -,           -,           -,           -,       49420,       57530,       65130,       81000,      100380
Special Education Teachers(252050),      528400,         0.6,           -,       73520,         0.5,           -,           -,           -,           -,           -,       47520,       55340,       65910,       83600,      106290
"Special Education Teachers, Preschool(252051)",       24850,         4.7,           -,       76420,         2.6,           -,           -,           -,           -,           -,       41250,       51240,       65270,       89440,      135170
"Special Education Teachers, Kindergarten and Elementary School(252052)",      212850,         1.1,           -,       71770,         0.5,           -,           -,           -,           -,           -,       47710,       54360,       64910,       81990,      103430
"Special Education Teachers, Middle School(252057)",       88850,         2.2,           -,       73630,         0.9,           -,           -,           -,           -,           -,       48140,       57600,       66600,       84040,      105320
"Special Education Teachers, Secondary School(252058)",      158150,         1.2,           -,       74670,         0.6,           -,           -,           -,           -,           -,       47950,       56820,       66620,       84400,      107230
"Special Education Teachers, All Other(252059)",       43700,         3.3,           -,       76000,         1.5,           -,           -,           -,           -,           -,       43530,       53780,       67190,       91050,      114360
Other Teachers and Instructors(253000),     1034120,         0.7,       24.35,       50650,         0.6,       13.00,       15.57,       20.05,       28.74,       39.11,       27040,       32390,       41700,       59780,       81340
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors(253011)",       36890,         1.6,       31.46,       65430,         0.6,       19.09,       23.35,       29.11,       37.61,       47.11,       39710,       48580,       60560,       78230,       97980
Self-Enrichment Teachers(253021),      272110,         1.1,       25.43,       52890,         1.2,       13.75,       16.74,       21.79,       29.91,       41.34,       28600,       34820,       45330,       62220,       85980
"Substitute Teachers, Short-Term(253031)",      444530,         1.2,       20.95,       43570,         1.3,       11.74,       14.36,       17.97,       23.36,       30.36,       24420,       29880,       37380,       48590,       63140
Tutors(253041),      162300,         1.6,       23.36,       48580,         1.0,       13.32,       15.77,       19.03,       26.74,       38.67,       27710,       32800,       39580,       55620,       80440
"Teachers and Instructors, All Other(253099)",      118290,         2.3,           -,       70340,         0.8,           -,           -,           -,           -,           -,       32740,       46600,       64390,       84380,      108380
"Librarians, Curators, and Archivists(254000)",      242750,         0.7,       28.69,       59680,         0.5,       14.97,       19.10,       26.66,       35.58,       45.18,       31130,       39730,       55460,       74000,       93970
"Archivists, Curators, and Museum Technicians(254010)",       32330,         1.2,       30.51,       63460,         1.3,       16.50,       21.03,       27.46,       36.76,       48.32,       34310,       43730,       57120,       76460,      100510
Archivists(254011),        7150,         2.7,       31.59,       65700,         1.0,       18.14,       22.33,       28.80,       38.07,       49.52,       37720,       46450,       59910,       79190,      103000
Curators(254012),       12510,         1.6,       34.07,       70870,         2.5,       18.27,       23.12,       29.69,       39.40,       51.86,       38000,       48080,       61750,       81950,      107860
Museum Technicians and Conservators(254013),       12670,         2.1,       26.39,       54890,         1.0,       14.77,       18.07,       23.40,       31.26,       40.58,       30730,       37580,       48670,       65020,       84400
Librarians and Media Collections Specialists(254022),      133760,         0.7,       32.97,       68570,         0.5,       18.60,       24.49,       30.95,       38.94,       49.03,       38690,       50930,       64370,       80980,      101970
Library Technicians(254031),       76670,         1.5,       20.46,       42570,         0.5,       13.00,       15.50,       18.90,       23.97,       29.62,       27040,       32240,       39310,       49860,       61620
Other Educational Instruction and Library Occupations(259000),     1812160,         0.4,           -,       43220,         0.4,           -,           -,           -,           -,           -,       24960,       30320,       37330,       48550,       67370
Farm and Home Management Educators(259021),        8110,         4.4,       29.53,       61430,         2.4,       17.65,       22.16,       28.73,       36.21,       40.76,       36710,       46080,       59770,       75310,       84770
Instructional Coordinators(259031),      207270,         0.9,       37.12,       77200,         0.7,       22.37,       28.46,       35.87,       44.34,       52.65,       46540,       59190,       74620,       92230,      109500
Teaching Assistants(259040),     1483280,         0.5,           -,       37470,         0.4,           -,           -,           -,           -,           -,       24380,       29690,       35930,       43830,       50550
"Teaching Assistants, Postsecondary(259044)",      145960,         0.4,           -,       47030,         0.5,           -,           -,           -,           -,           -,       29540,       33000,       43750,       60450,       73450
"Teaching Assistants, Except Postsecondary(259045)",     1337320,         0.6,           -,       36430,         0.4,           -,           -,           -,           -,           -,       24200,       29500,       35550,       40720,       48870
"Educational Instruction and Library Workers, All Other(259099)",      113490,         1.5,       26.40,       54910,         0.6,       12.06,       16.17,       23.94,       31.86,       41.66,       25090,       33640,       49800,       66270,       86660
"Arts, Design, Entertainment, Sports, and Media Occupations(270000)",     2106490,         0.6,       36.31,       75520,         0.8,       15.00,       18.86,       28.33,       40.77,       61.48,       31200,       39220,       58920,       84790,      127880
Art and Design Workers(271000),      675630,         0.6,       31.34,       65190,         1.0,       14.83,       17.81,       24.84,       37.72,       54.84,       30840,       37050,       51660,       78450,      114080
Artists and Related Workers(271010),      105300,         2.4,       51.82,      107780,         1.2,       20.38,       30.35,       46.22,       64.55,       84.72,       42390,       63120,       96130,      134270,      176220
Art Directors(271011),       51200,         2.0,       60.54,      125920,         1.4,       29.06,       37.97,       51.20,       74.84,      100.87,       60440,       78970,      106500,      155680,      209800
Craft Artists(271012),        5830,         7.1,       20.97,       43610,         3.4,       10.10,       14.00,       17.59,       23.56,       32.68,       21010,       29120,       36600,       49010,       67980
"Fine Artists, Including Painters, Sculptors, and Illustrators(271013)",       10910,         8.2,       34.34,       71420,         7.1,       13.65,       18.34,       28.51,       42.64,       65.10,       28390,       38160,       59300,       88690,      135420
Special Effects Artists and Animators(271014),       29940,         5.8,       52.71,      109630,         1.7,       27.45,       34.41,       47.63,       64.13,       81.53,       57090,       71570,       99060,      133400,      169580
"Artists and Related Workers, All Other(271019)",        7420,         5.8,       37.93,       78890,         2.6,       15.05,       20.11,       35.94,       52.21,       61.67,       31310,       41830,       74750,      108590,      128270
Designers(271020),      570330,         0.6,       27.56,       57320,         0.9,       14.66,       17.33,       22.92,       33.65,       46.33,       30490,       36050,       47670,       70000,       96370
Commercial and Industrial Designers(271021),       30810,         3.6,       39.36,       81870,         1.2,       22.37,       28.45,       36.66,       47.74,       60.58,       46530,       59170,       76250,       99290,      126010
Fashion Designers(271022),       19940,         5.1,       46.65,       97030,        10.4,       17.83,       28.10,       38.12,       51.57,       77.33,       37090,       58440,       79290,      107260,      160850
Floral Designers(271023),       43350,         1.8,       17.07,       35500,         0.7,       12.00,       14.00,       16.68,       18.72,       22.43,       24960,       29120,       34690,       38940,       46650
Graphic Designers(271024),      212720,         0.7,       31.11,       64700,         0.9,       17.51,       21.90,       28.32,       37.30,       48.29,       36420,       45560,       58910,       77570,      100450
Interior Designers(271025),       67760,         2.2,       32.95,       68530,         0.9,       18.14,       23.07,       30.05,       38.26,       48.97,       37730,       47990,       62510,       79580,      101860
Merchandise Displayers and Window Trimmers(271026),      175790,         1.7,       18.77,       39040,         0.7,       14.08,       15.12,       17.42,       20.33,       24.63,       29280,       31440,       36230,       42280,       51230
Set and Exhibit Designers(271027),       10090,         4.0,       32.29,       67170,         2.6,       15.50,       20.67,       28.60,       39.72,       54.68,       32240,       42980,       59490,       82620,      113740
"Designers, All Other(271029)",        9880,         4.6,       36.52,       75960,         2.0,       17.38,       22.33,       32.45,       44.11,       60.45,       36160,       46450,       67500,       91740,      125730
"Entertainers and Performers, Sports and Related Workers(272000)",      569670,         1.5,       41.02,       85310,         1.6,       13.87,       17.45,       25.65,       43.43,       72.97,       28860,       36290,       53360,       90340,      151770
"Actors, Producers, and Directors(272010)",      217020,         3.7,       48.49,      100860,         2.9,       16.10,       21.68,       36.54,       59.13,       84.72,       33490,       45100,       76000,      122990,      176210
Actors(272011),       62560,        11.2,       41.01,           -,         6.4,       13.00,       15.98,       20.50,       36.54,      100.01,           -,           -,           -,           -,           -
Producers and Directors(272012),      154470,         1.3,       51.52,      107170,         3.9,       20.21,       28.15,       39.67,       61.56,       83.91,       42040,       58540,       82510,      128040,      174540
"Athletes, Coaches, Umpires, and Related Workers(272020)",      268750,         1.4,           -,       72950,         3.0,           -,           -,           -,           -,           -,       26630,       32240,       45860,       62850,       99930
Athletes and Sports Competitors(272021),       14930,         6.4,           -,      328830,        10.5,           -,           -,           -,           -,           -,       27730,       38040,       70280,      201140,           -
Coaches and Scouts(272022),      238980,         1.5,           -,       58700,         0.9,           -,           -,           -,           -,           -,       27040,       32440,       45910,       62070,       95620
"Umpires, Referees, and Other Sports Officials(272023)",       14840,         4.1,           -,       44860,         4.1,           -,           -,           -,           -,           -,       22950,       29140,       35820,       47690,       63410
Dancers and Choreographers(272030),       15700,         8.8,       29.25,       60840,         3.7,       14.16,       16.96,       24.95,       36.55,       47.52,       29460,       35280,       51900,       76020,       98840
Dancers(272031),       11510,        13.3,       29.56,           -,         4.9,       14.15,       16.70,       24.95,       36.52,       48.14,           -,           -,           -,           -,           -
Choreographers(272032),        4190,        13.2,       28.41,       59090,         3.3,       14.44,       18.00,       25.00,       37.18,       43.82,       30040,       37440,       52000,       77330,       91140
"Musicians, Singers, and Related Workers(272040)",       46280,         2.6,       49.46,           -,         2.2,       16.08,       23.38,       37.48,       58.74,      100.51,           -,           -,           -,           -,           -
Music Directors and Composers(272041),       10770,        12.5,       42.23,       87840,         8.2,       16.46,       22.55,       30.09,       48.89,       83.56,       34240,       46910,       62590,      101690,      173810
Musicians and Singers(272042),       35520,         2.8,       51.65,           -,         2.6,       16.02,       23.70,       39.14,       60.92,      102.98,           -,           -,           -,           -,           -
"Miscellaneous Entertainers and Performers, Sports and Related Workers(272090)",       21910,         8.6,       30.47,           -,         8.5,       11.75,       15.50,       20.38,       31.96,       50.97,           -,           -,           -,           -,           -
"Disc Jockeys, Except Radio(272091)",        7190,        10.6,       31.39,           -,        10.4,       11.08,       15.50,       20.00,       33.04,       57.66,           -,           -,           -,           -,           -
"Entertainers and Performers, Sports and Related Workers, All Other(272099)",       14720,         8.9,       30.03,           -,        10.9,       11.80,       15.50,       20.91,       31.85,       49.10,           -,           -,           -,           -,           -
Media and Communication Workers(273000),      625940,         0.6,       39.13,       81400,         0.8,       17.65,       23.41,       31.88,       45.29,       62.48,       36720,       48690,       66320,       94200,      129960
Broadcast Announcers and Radio Disc Jockeys(273011),       25070,         2.3,       41.81,       86950,         2.3,       11.73,       14.86,       21.58,       31.76,       61.33,       24400,       30920,       44890,       66070,      127560
"News Analysts, Reporters, and Journalists(273023)",       45020,         2.2,       48.76,      101430,         1.8,       15.17,       18.34,       27.64,       44.18,       77.10,       31550,       38160,       57500,       91890,      160360
Public Relations Specialists(273031),      275550,         1.5,       37.37,       77720,         0.9,       18.55,       24.17,       32.09,       44.37,       60.68,       38570,       50280,       66750,       92290,      126220
Writers and Editors(273040),      193130,         2.4,       41.40,       86120,         1.4,       19.67,       26.76,       36.55,       48.78,       65.81,       40920,       55660,       76020,      101470,      136870
Editors(273041),       95700,         1.8,       40.92,       85110,         1.6,       18.65,       24.91,       36.07,       48.61,       66.79,       38790,       51810,       75020,      101100,      138920
Technical Writers(273042),       47970,         2.5,       41.64,       86620,         1.3,       23.38,       29.84,       38.49,       49.17,       62.23,       48630,       62060,       80050,      102260,      129440
Writers and Authors(273043),       49450,         8.2,       42.11,       87590,         1.8,       19.67,       25.32,       35.43,       48.55,       71.27,       40900,       52660,       73690,      100990,      148240
Miscellaneous Media and Communication Workers(273090),       87180,         3.3,       33.95,       70620,         1.0,       17.07,       22.05,       29.06,       38.28,       52.19,       35500,       45870,       60440,       79630,      108550
Interpreters and Translators(273091),       51560,         2.7,       30.33,       63080,         1.5,       17.03,       21.54,       27.45,       37.00,       46.68,       35410,       44810,       57090,       76960,       97100
Court Reporters and Simultaneous Captioners(273092),       12390,         3.7,       34.15,       71040,         1.4,       17.26,       22.19,       30.74,       41.68,       60.79,       35890,       46150,       63940,       86690,      126440
"Media and Communication Workers, All Other(273099)",       23230,         9.2,       41.89,       87140,         2.6,       17.73,       24.03,       29.76,       41.01,       65.39,       36880,       49980,       61900,       85310,      136000
Media and Communication Equipment Workers(274000),      235240,         1.2,       31.67,       65880,         0.9,       14.93,       18.69,       25.89,       38.43,       53.98,       31050,       38870,       53850,       79930,      112280
"Broadcast, Sound, and Lighting Technicians(274010)",      117010,         2.8,       31.26,       65010,         1.1,       15.75,       19.92,       26.04,       37.47,       50.96,       32760,       41440,       54160,       77940,      105990
Audio and Video Technicians(274011),       66700,         2.7,       28.49,       59260,         1.0,       16.25,       19.93,       24.83,       33.64,       45.98,       33790,       41440,       51640,       69980,       95640
Broadcast Technicians(274012),       26190,         3.2,       34.43,       71600,         2.0,       13.50,       17.68,       27.74,       46.50,       60.29,       28080,       36770,       57690,       96710,      125410
Sound Engineering Technicians(274014),       14600,         7.4,       35.62,       74100,         3.0,       17.38,       22.03,       28.57,       45.46,       63.91,       36160,       45820,       59430,       94550,      132940
Lighting Technicians(274015),        9520,         9.7,       35.22,       73250,         2.3,       18.11,       22.82,       29.92,       39.89,       60.86,       37680,       47470,       62240,       82980,      126590
Photographers(274021),       53630,         1.8,       25.67,       53380,         2.1,       13.71,       15.50,       19.60,       30.04,       46.03,       28510,       32240,       40760,       62480,       95740
"Television, Video, and Film Camera Operators and Editors(274030)",       53180,         3.7,       37.62,       78260,         1.2,       17.71,       22.61,       31.28,       47.65,       64.18,       36830,       47030,       65070,       99110,      133500
